aparcamiento_id,fecha,hora,plazas_ocupadas,plazas_libres,porcentaje_ocupacion
1,2024-12-01,0,278,416,40.1
1,2024-12-01,1,209,485,30.1
1,2024-12-01,2,166,528,23.9
1,2024-12-01,3,139,555,20.0
1,2024-12-01,4,125,569,18.0
1,2024-12-01,5,152,542,21.9
1,2024-12-01,6,208,486,30.0
1,2024-12-01,7,326,368,47.0
1,2024-12-01,8,445,249,64.1
1,2024-12-01,9,534,160,77.0
1,2024-12-01,10,589,105,84.9
1,2024-12-01,11,617,77,89.0
1,2024-12-01,12,632,62,91.1
1,2024-12-01,13,597,97,86.0
1,2024-12-01,14,563,131,81.1
1,2024-12-01,15,508,186,73.2
1,2024-12-01,16,527,167,76.0
1,2024-12-01,17,569,125,82.0
1,2024-12-01,18,611,83,88.0
1,2024-12-01,19,625,69,90.1
1,2024-12-01,20,597,97,86.0
1,2024-12-01,21,534,160,77.0
1,2024-12-01,22,459,235,66.1
1,2024-12-01,23,361,333,52.0
2,2024-12-01,0,336,464,42.0
2,2024-12-01,1,248,552,31.0
2,2024-12-01,2,184,616,23.0
2,2024-12-01,3,160,640,20.0
2,2024-12-01,4,144,656,18.0
2,2024-12-01,5,184,616,23.0
2,2024-12-01,6,240,560,30.0
2,2024-12-01,7,368,432,46.0
2,2024-12-01,8,504,296,63.0
2,2024-12-01,9,624,176,78.0
2,2024-12-01,10,680,120,85.0
2,2024-12-01,11,712,88,89.0
2,2024-12-01,12,728,72,91.0
2,2024-12-01,13,688,112,86.0
2,2024-12-01,14,648,152,81.0
2,2024-12-01,15,584,216,73.0
2,2024-12-01,16,608,192,76.0
2,2024-12-01,17,656,144,82.0
2,2024-12-01,18,704,96,88.0
2,2024-12-01,19,720,80,90.0
2,2024-12-01,20,688,112,86.0
2,2024-12-01,21,616,184,77.0
2,2024-12-01,22,528,272,66.0
2,2024-12-01,23,416,384,52.0
3,2024-12-01,0,192,288,40.0
3,2024-12-01,1,139,341,29.0
3,2024-12-01,2,106,374,22.1
3,2024-12-01,3,96,384,20.0
3,2024-12-01,4,86,394,17.9
3,2024-12-01,5,110,370,22.9
3,2024-12-01,6,144,336,30.0
3,2024-12-01,7,225,255,46.9
3,2024-12-01,8,307,173,64.0
3,2024-12-01,9,374,106,77.9
3,2024-12-01,10,408,72,85.0
3,2024-12-01,11,427,53,89.0
3,2024-12-01,12,437,43,91.0
3,2024-12-01,13,413,67,86.0
3,2024-12-01,14,389,91,81.0
3,2024-12-01,15,350,130,72.9
3,2024-12-01,16,365,115,76.0
3,2024-12-01,17,394,86,82.1
3,2024-12-01,18,422,58,87.9
3,2024-12-01,19,432,48,90.0
3,2024-12-01,20,413,67,86.0
3,2024-12-01,21,370,110,77.1
3,2024-12-01,22,317,163,66.0
3,2024-12-01,23,250,230,52.1
4,2024-12-01,0,171,279,38.0
4,2024-12-01,1,126,324,28.0
4,2024-12-01,2,95,355,21.1
4,2024-12-01,3,85,365,18.9
4,2024-12-01,4,81,369,18.0
4,2024-12-01,5,99,351,22.0
4,2024-12-01,6,135,315,30.0
4,2024-12-01,7,216,234,48.0
4,2024-12-01,8,284,166,63.1
4,2024-12-01,9,342,108,76.0
4,2024-12-01,10,378,72,84.0
4,2024-12-01,11,396,54,88.0
4,2024-12-01,12,405,45,90.0
4,2024-12-01,13,383,67,85.1
4,2024-12-01,14,365,85,81.1
4,2024-12-01,15,333,117,74.0
4,2024-12-01,16,342,108,76.0
4,2024-12-01,17,369,81,82.0
4,2024-12-01,18,387,63,86.0
4,2024-12-01,19,401,49,89.1
4,2024-12-01,20,383,67,85.1
4,2024-12-01,21,342,108,76.0
4,2024-12-01,22,288,162,64.0
4,2024-12-01,23,225,225,50.0
5,2024-12-01,0,96,171,36.0
5,2024-12-01,1,69,198,25.8
5,2024-12-01,2,56,211,21.0
5,2024-12-01,3,45,222,16.9
5,2024-12-01,4,40,227,15.0
5,2024-12-01,5,59,208,22.1
5,2024-12-01,6,75,192,28.1
5,2024-12-01,7,123,144,46.1
5,2024-12-01,8,169,98,63.3
5,2024-12-01,9,203,64,76.0
5,2024-12-01,10,227,40,85.0
5,2024-12-01,11,237,30,88.8
5,2024-12-01,12,243,24,91.0
5,2024-12-01,13,227,40,85.0
5,2024-12-01,14,216,51,80.9
5,2024-12-01,15,195,72,73.0
5,2024-12-01,16,203,64,76.0
5,2024-12-01,17,219,48,82.0
5,2024-12-01,18,235,32,88.0
5,2024-12-01,19,240,27,89.9
5,2024-12-01,20,227,40,85.0
5,2024-12-01,21,205,62,76.8
5,2024-12-01,22,171,96,64.0
5,2024-12-01,23,139,128,52.1
6,2024-12-01,0,159,239,39.9
6,2024-12-01,1,119,279,29.9
6,2024-12-01,2,88,310,22.1
6,2024-12-01,3,80,318,20.1
6,2024-12-01,4,72,326,18.1
6,2024-12-01,5,92,306,23.1
6,2024-12-01,6,119,279,29.9
6,2024-12-01,7,183,215,46.0
6,2024-12-01,8,255,143,64.1
6,2024-12-01,9,306,92,76.9
6,2024-12-01,10,338,60,84.9
6,2024-12-01,11,354,44,89.0
6,2024-12-01,12,362,36,91.0
6,2024-12-01,13,342,56,86.0
6,2024-12-01,14,323,75,81.2
6,2024-12-01,15,291,107,73.1
6,2024-12-01,16,303,95,76.1
6,2024-12-01,17,327,71,82.2
6,2024-12-01,18,350,48,87.9
6,2024-12-01,19,358,40,89.9
6,2024-12-01,20,342,56,86.0
6,2024-12-01,21,306,92,76.9
6,2024-12-01,22,263,135,66.1
6,2024-12-01,23,207,191,52.0
7,2024-12-01,0,95,142,40.1
7,2024-12-01,1,64,173,27.0
7,2024-12-01,2,47,190,19.8
7,2024-12-01,3,43,194,18.1
7,2024-12-01,4,40,197,16.9
7,2024-12-01,5,52,185,22.0
7,2024-12-01,6,71,166,30.0
7,2024-12-01,7,109,128,46.0
7,2024-12-01,8,151,86,63.7
7,2024-12-01,9,180,57,76.0
7,2024-12-01,10,201,36,84.8
7,2024-12-01,11,211,26,89.0
7,2024-12-01,12,216,21,91.1
7,2024-12-01,13,204,33,86.1
7,2024-12-01,14,192,45,81.0
7,2024-12-01,15,173,64,73.0
7,2024-12-01,16,180,57,76.0
7,2024-12-01,17,194,43,81.9
7,2024-12-01,18,208,29,87.8
7,2024-12-01,19,213,24,89.9
7,2024-12-01,20,204,33,86.1
7,2024-12-01,21,182,55,76.8
7,2024-12-01,22,156,81,65.8
7,2024-12-01,23,123,114,51.9
8,2024-12-01,0,125,204,38.0
8,2024-12-01,1,89,240,27.1
8,2024-12-01,2,69,260,21.0
8,2024-12-01,3,56,273,17.0
8,2024-12-01,4,53,276,16.1
8,2024-12-01,5,69,260,21.0
8,2024-12-01,6,99,230,30.1
8,2024-12-01,7,152,177,46.2
8,2024-12-01,8,207,122,62.9
8,2024-12-01,9,250,79,76.0
8,2024-12-01,10,279,50,84.8
8,2024-12-01,11,293,36,89.1
8,2024-12-01,12,300,29,91.2
8,2024-12-01,13,283,46,86.0
8,2024-12-01,14,267,62,81.2
8,2024-12-01,15,240,89,73.0
8,2024-12-01,16,250,79,76.0
8,2024-12-01,17,270,59,82.1
8,2024-12-01,18,289,40,87.8
8,2024-12-01,19,296,33,90.0
8,2024-12-01,20,283,46,86.0
8,2024-12-01,21,253,76,76.9
8,2024-12-01,22,217,112,66.0
8,2024-12-01,23,171,158,52.0
9,2024-12-01,0,114,203,36.0
9,2024-12-01,1,86,231,27.1
9,2024-12-01,2,60,257,18.9
9,2024-12-01,3,54,263,17.0
9,2024-12-01,4,48,269,15.1
9,2024-12-01,5,67,250,21.1
9,2024-12-01,6,92,225,29.0
9,2024-12-01,7,146,171,46.1
9,2024-12-01,8,201,116,63.4
9,2024-12-01,9,241,76,76.0
9,2024-12-01,10,267,50,84.2
9,2024-12-01,11,282,35,89.0
9,2024-12-01,12,289,28,91.2
9,2024-12-01,13,273,44,86.1
9,2024-12-01,14,257,60,81.1
9,2024-12-01,15,232,85,73.2
9,2024-12-01,16,241,76,76.0
9,2024-12-01,17,260,57,82.0
9,2024-12-01,18,279,38,88.0
9,2024-12-01,19,285,32,89.9
9,2024-12-01,20,273,44,86.1
9,2024-12-01,21,244,73,77.0
9,2024-12-01,22,209,108,65.9
9,2024-12-01,23,165,152,52.1
10,2024-12-01,0,153,229,40.1
10,2024-12-01,1,115,267,30.1
10,2024-12-01,2,84,298,22.0
10,2024-12-01,3,76,306,19.9
10,2024-12-01,4,69,313,18.1
10,2024-12-01,5,84,298,22.0
10,2024-12-01,6,115,267,30.1
10,2024-12-01,7,179,203,46.9
10,2024-12-01,8,244,138,63.9
10,2024-12-01,9,290,92,75.9
10,2024-12-01,10,325,57,85.1
10,2024-12-01,11,340,42,89.0
10,2024-12-01,12,348,34,91.1
10,2024-12-01,13,329,53,86.1
10,2024-12-01,14,309,73,80.9
10,2024-12-01,15,279,103,73.0
10,2024-12-01,16,290,92,75.9
10,2024-12-01,17,313,69,81.9
10,2024-12-01,18,336,46,88.0
10,2024-12-01,19,344,38,90.1
10,2024-12-01,20,329,53,86.1
10,2024-12-01,21,294,88,77.0
10,2024-12-01,22,252,130,66.0
10,2024-12-01,23,198,184,51.8
11,2024-12-01,0,97,145,40.1
11,2024-12-01,1,70,172,28.9
11,2024-12-01,2,51,191,21.1
11,2024-12-01,3,44,198,18.2
11,2024-12-01,4,39,203,16.1
11,2024-12-01,5,53,189,21.9
11,2024-12-01,6,73,169,30.2
11,2024-12-01,7,111,131,45.9
11,2024-12-01,8,155,87,64.0
11,2024-12-01,9,184,58,76.0
11,2024-12-01,10,206,36,85.1
11,2024-12-01,11,215,27,88.8
11,2024-12-01,12,220,22,90.9
11,2024-12-01,13,208,34,86.0
11,2024-12-01,14,196,46,81.0
11,2024-12-01,15,177,65,73.1
11,2024-12-01,16,184,58,76.0
11,2024-12-01,17,199,43,82.2
11,2024-12-01,18,213,29,88.0
11,2024-12-01,19,218,24,90.1
11,2024-12-01,20,208,34,86.0
11,2024-12-01,21,186,56,76.9
11,2024-12-01,22,160,82,66.1
11,2024-12-01,23,126,116,52.1
12,2024-12-01,0,165,247,40.0
12,2024-12-01,1,124,288,30.1
12,2024-12-01,2,86,326,20.9
12,2024-12-01,3,78,334,18.9
12,2024-12-01,4,74,338,18.0
12,2024-12-01,5,91,321,22.1
12,2024-12-01,6,124,288,30.1
12,2024-12-01,7,193,219,46.8
12,2024-12-01,8,264,148,64.1
12,2024-12-01,9,313,99,76.0
12,2024-12-01,10,350,62,84.9
12,2024-12-01,11,367,45,89.1
12,2024-12-01,12,375,37,91.0
12,2024-12-01,13,354,58,85.9
12,2024-12-01,14,334,78,81.1
12,2024-12-01,15,301,111,73.1
12,2024-12-01,16,313,99,76.0
12,2024-12-01,17,338,74,82.0
12,2024-12-01,18,363,49,88.1
12,2024-12-01,19,371,41,90.0
12,2024-12-01,20,354,58,85.9
12,2024-12-01,21,317,95,76.9
12,2024-12-01,22,272,140,66.0
12,2024-12-01,23,214,198,51.9
13,2024-12-01,0,135,202,40.1
13,2024-12-01,1,96,241,28.5
13,2024-12-01,2,71,266,21.1
13,2024-12-01,3,61,276,18.1
13,2024-12-01,4,57,280,16.9
13,2024-12-01,5,74,263,22.0
13,2024-12-01,6,101,236,30.0
13,2024-12-01,7,158,179,46.9
13,2024-12-01,8,215,122,63.8
13,2024-12-01,9,256,81,76.0
13,2024-12-01,10,286,51,84.9
13,2024-12-01,11,300,37,89.0
13,2024-12-01,12,307,30,91.1
13,2024-12-01,13,290,47,86.1
13,2024-12-01,14,273,64,81.0
13,2024-12-01,15,246,91,73.0
13,2024-12-01,16,256,81,76.0
13,2024-12-01,17,276,61,81.9
13,2024-12-01,18,296,41,87.8
13,2024-12-01,19,303,34,89.9
13,2024-12-01,20,290,47,86.1
13,2024-12-01,21,259,78,76.9
13,2024-12-01,22,222,115,65.9
13,2024-12-01,23,175,162,51.9
14,2024-12-01,0,101,151,40.1
14,2024-12-01,1,71,181,28.2
14,2024-12-01,2,53,199,21.0
14,2024-12-01,3,45,207,17.9
14,2024-12-01,4,43,209,17.1
14,2024-12-01,5,56,196,22.2
14,2024-12-01,6,76,176,30.2
14,2024-12-01,7,118,134,46.8
14,2024-12-01,8,161,91,63.9
14,2024-12-01,9,192,60,76.2
14,2024-12-01,10,214,38,84.9
14,2024-12-01,11,224,28,88.9
14,2024-12-01,12,230,22,91.3
14,2024-12-01,13,217,35,86.1
14,2024-12-01,14,204,48,81.0
14,2024-12-01,15,184,68,73.0
14,2024-12-01,16,192,60,76.2
14,2024-12-01,17,207,45,82.1
14,2024-12-01,18,222,30,88.1
14,2024-12-01,19,227,25,90.1
14,2024-12-01,20,217,35,86.1
14,2024-12-01,21,194,58,77.0
14,2024-12-01,22,166,86,65.9
14,2024-12-01,23,131,121,52.0
15,2024-12-01,0,101,151,40.1
15,2024-12-01,1,73,179,29.0
15,2024-12-01,2,50,202,19.8
15,2024-12-01,3,45,207,17.9
15,2024-12-01,4,40,212,15.9
15,2024-12-01,5,55,197,21.8
15,2024-12-01,6,76,176,30.2
15,2024-12-01,7,116,136,46.0
15,2024-12-01,8,159,93,63.1
15,2024-12-01,9,192,60,76.2
15,2024-12-01,10,214,38,84.9
15,2024-12-01,11,224,28,88.9
15,2024-12-01,12,232,20,92.1
15,2024-12-01,13,217,35,86.1
15,2024-12-01,14,202,50,80.2
15,2024-12-01,15,184,68,73.0
15,2024-12-01,16,192,60,76.2
15,2024-12-01,17,207,45,82.1
15,2024-12-01,18,222,30,88.1
15,2024-12-01,19,227,25,90.1
15,2024-12-01,20,217,35,86.1
15,2024-12-01,21,194,58,77.0
15,2024-12-01,22,164,88,65.1
15,2024-12-01,23,131,121,52.0